Ano,1,2,3,4,5,6,7,8,9,10,11,12
2017,"39696.95","37725.15","39999.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
2016,"35425.59","36253.65","38660.69","36108.93","34365.73","32285.52","32918.21","32580.24","30947.26","32199.58","32083.91","36407.96"
2015,"36174.92","31900.89","34626.40","31506.21","30652.40","28018.26","30046.61","30091.90","30333.91","33256.90","31888.26","33560.89"
2014,"39432.97","35095.06","35608.55","33411.31","31987.84","29934.86","31038.74","30178.78","30915.80","32281.09","31015.92","31596.50"
2013,"34408.81","33022.89","36412.60","34525.51","33369.57","31602.13","34428.64","35021.17","34353.72","36205.48","34608.90","36596.20"
2012,"39616.98","39370.01","42602.80","36919.92","36385.38","35423.47","36991.89","37551.63","34462.66","35255.34","31737.66","34860.46"
2011,"38783.35","36723.85","39244.11","37769.83","37202.26","35042.43","36725.96","38616.90","37317.56","37728.17","36600.48","38481.93"
2010,"37586.52","35431.87","39299.17","36035.14","35750.91","33115.37","35346.34","33902.32","32438.16","34026.46","33564.24","36396.89"
2009,"33428.93","32374.19","36724.73","33722.80","32879.18","31430.61","34111.57","35524.83","34795.02","36134.94","37787.06","36772.33"
2008,"32988.07","30905.82","33831.58","33205.31","33842.81","33278.72","33237.58","34105.76","32954.13","34885.61","32992.08","31474.21"
2007,"34351.60","31954.83","36912.04","34440.19","34320.10","32728.50","33722.59","34171.18","32710.20","34538.62","32681.84","33552.64"
2006,"33354.78","30092.17","33953.96","31432.72","31604.88","30740.80","31273.78","32382.07","30504.69","31966.12","31999.11","32927.80"
2005,"31747.16","29437.53","33283.10","31113.79","30490.40","29708.97","29978.42","30963.43","29940.07","31443.10","30223.59","31936.26"
2004,"28059.22","27187.27","30522.11","28928.53","29672.39","28346.45","29567.35","29862.88","29256.39","29799.54","29564.45","31200.16"
2003,"28590.91","27110.43","29006.19","28230.60","28213.15","26501.87","27437.71","27770.11","28005.11","29419.70","27940.41","28595.98"
2002,"23620.65","22652.48","27222.45","26525.77","26095.54","25161.04","26105.92","27187.48","25885.65","28891.49","27840.91","28231.46"
